Borough,Neighborhood,Season,Day_of_Week,Time_Bucket,Avg_Complaints_Per_Week,Std_Complaints,Num_Weeks
BRONX,Bronx Park and Fordham,Winter,1,night,14.869047619047619,6.1109811526716005,84
BRONX,Bronx Park and Fordham,Winter,1,overnight,5.197530864197531,3.52285308055282,81
BRONX,Bronx Park and Fordham,Winter,2,afternoon,10.035294117647059,4.929133650391048,85
BRONX,Bronx Park and Fordham,Winter,2,evening,11.941176470588236,6.8423626892228055,85
BRONX,Bronx Park and Fordham,Winter,2,morning,6.482352941176471,4.5214087688354345,85
BRONX,Bronx Park and Fordham,Winter,2,night,14.8,9.057751218865372,85
BRONX,Bronx Park and Fordham,Winter,2,overnight,5.451219512195122,6.501951158290852,82
BRONX,Bronx Park and Fordham,Winter,3,afternoon,10.790697674418604,7.2357222966738295,86
BRONX,Bronx Park and Fordham,Winter,3,evening,13.781609195402298,5.977526297407108,87
BRONX,Bronx Park and Fordham,Winter,3,morning,6.068965517241379,3.3333867945458913,87
BRONX,Bronx Park and Fordham,Winter,3,night,16.482758620689655,7.615562507229761,87
BRONX,Bronx Park and Fordham,Winter,3,overnight,6.325581395348837,7.450924712394257,86
BRONX,Bronx Park and Fordham,Winter,4,afternoon,10.666666666666666,5.6848772596569175,87
BRONX,Bronx Park and Fordham,Winter,4,evening,13.954022988505747,6.39750686537253,87
BRONX,Bronx Park and Fordham,Winter,4,morning,6.069767441860465,3.2676334220004786,86
BRONX,Bronx Park and Fordham,Winter,4,night,19.42528735632184,7.435978195153061,87
BRONX,Bronx Park and Fordham,Winter,4,overnight,6.0588235294117645,5.127779016987649,85
BRONX,Bronx Park and Fordham,Winter,5,afternoon,14.388235294117647,6.277499725298315,85
BRONX,Bronx Park and Fordham,Winter,5,evening,16.04705882352941,6.946917580160731,85
BRONX,Bronx Park and Fordham,Winter,5,morning,7.8,3.8968852030454126,85
BRONX,Bronx Park and Fordham,Winter,5,night,27.28235294117647,9.352376531059445,85
BRONX,Bronx Park and Fordham,Winter,5,overnight,9.2,5.133457017681258,85
